State,District,Latitude,Longitude,Geocoded_Address
Punjab,Bathinda,30.1794814,75.0471098,"Bathinda, Punjab, India"
Punjab,Faridkot,30.6014507,74.7950176,"Faridkot, Punjab, India"
Punjab,Fatehgarh Sahib,30.6634042,76.3803,"Fatehgarh Sahib, Punjab, India"
Punjab,Fazilka,30.3198406,74.1217943,"Fazilka, Punjab, India"
Punjab,Ferozepur,30.8978718,75.8161212,"All India Radio, Ludhiana (Punjab), Ferozepur Road, Gurudev Nagar, Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141002, India"
Punjab,Gurdaspur,31.9037264,75.2275587,"Gurdaspur, Punjab, India"
Punjab,Hoshiarpur,31.6092942,75.8459754,"Hoshiarpur, Punjab, India"
Punjab,Jalandhar,31.2922312,75.5678878,"Jalandhar, Punjab, India"
Punjab,Kapurthala,31.3856476,75.3053304,"Kapurthala, Punjab, India"
Punjab,Ludhiana,30.789407,75.8269724,"Ludhiana, Punjab, India"
Punjab,Malerkotla,30.5372203,75.9088832,"Malerkotla, Punjab, India"
Punjab,Mansa,29.8764133,75.4889564,"Mansa, Punjab, India"
Punjab,Moga,30.7877554,75.159359,"Moga, Punjab, India"
Punjab,Pathankot,32.3021899,75.6589406,"Pathankot, Punjab, India"
Punjab,Patiala,30.2092778,76.3397231,"Patiala, Punjab, India"
Punjab,Rupnagar,31.0917102,76.5289701,"Rupnagar, Punjab, India"
Punjab,S.A.S Nagar,30.7178072,76.6985062,"Sector 73, F-297, Sector 73, Mohali, S.A.S. Nagar (Mohali) Tahsil, Sahibzada Ajit Singh Nagar, Punjab, 160055, India"
Punjab,Sangrur,30.135717,75.8533326,"Sangrur, Punjab, India"
Punjab,Shahid Bhagat Singh Nagar,31.126969,76.1598988,"Shaheed Bhagat Singh Nagar, Punjab, India"
Punjab,Sri Muktsar Sahib,30.2867162,74.5262234,"Sri Muktsar Sahib, Punjab, India"
Punjab,Tarn Taran,31.3212453,74.8416687,"Tarn Taran, Punjab, India"
Uttar Pradesh,Agra,27.0755504,77.8753832,"Agra, Uttar Pradesh, India"
Uttar Pradesh,Aligarh,27.8761073,78.1358153,"Aligarh, Uttar Pradesh, India"
Uttar Pradesh,Ambedkar Nagar,26.4045941,82.6065154,"Ambedkar Nagar, Uttar Pradesh, India"
Uttar Pradesh,Amethi,26.346274,81.6252039,"Amethi, Uttar Pradesh, India"
Uttar Pradesh,Amroha,28.7952632,78.3436244,"Amroha, Uttar Pradesh, India"
Uttar Pradesh,Auraiya,26.6558215,79.5160757,"Auraiya, Uttar Pradesh, India"
Uttar Pradesh,Ayodhya,26.6382763,82.0585034,"Ayodhya, Uttar Pradesh, India"
Uttar Pradesh,Azamgarh,26.023639,83.0293105,"Azamgarh, Uttar Pradesh, India"
Uttar Pradesh,Baghpat,29.0374779,77.3062737,"Baghpat, Uttar Pradesh, India"
Uttar Pradesh,Bahraich,27.7343823,81.47654,"Bahraich, Uttar Pradesh, India"
Uttar Pradesh,Ballia,25.8749595,84.1210329,"Ballia, Uttar Pradesh, India"
Uttar Pradesh,Balrampur,27.4476988,82.3956245,"Balrampur, Uttar Pradesh, India"
Uttar Pradesh,Banda,25.4438537,80.5595237,"Banda, Uttar Pradesh, India"
Uttar Pradesh,Bara Banki,26.9013312,81.2151601,"Bāra Banki, Barabanki, Uttar Pradesh, 222501, India"
Uttar Pradesh,Bareilly,28.4582345,79.4047452,"Bareilly, Uttar Pradesh, India"
Uttar Pradesh,Basti,26.8387083,82.5350919,"Basti, Uttar Pradesh, India"
Uttar Pradesh,Bhadohi,25.3627897,82.6846939,"Union Bank Of India Kandhiya Phatak, Dhanapur Road, KANDHIYA, Bhadohi, Sant Ravidas Nagar, Uttar Pradesh, 221201, India"
Uttar Pradesh,Bijnor,29.4074203,78.4821406,"Bijnor, Uttar Pradesh, India"
Uttar Pradesh,Budaun,28.116667,78.983333,"Budaun, Badaun, Uttar Pradesh, 243633, India"
Uttar Pradesh,Bulandshahr,28.3874073,77.9743805,"Bulandshahr, Uttar Pradesh, India"
Uttar Pradesh,Chandauli,25.125695,83.2494601,"Chandauli, Uttar Pradesh, India"
Uttar Pradesh,Chitrakoot,25.217139,81.1045927,"Chitrakoot, Uttar Pradesh, India"
Uttar Pradesh,Deoria,26.4239911,83.7638578,"Deoria, Uttar Pradesh, India"
Uttar Pradesh,Etah,27.5550357,78.5992221,"Etah, Uttar Pradesh, India"
Uttar Pradesh,Etawah,26.7155629,79.0917098,"Etawah, Uttar Pradesh, India"
Uttar Pradesh,Farrukhabad,27.4362003,79.4894778,"Farrukhabad, Uttar Pradesh, India"
Uttar Pradesh,Fatehpur,25.8348023,80.9154547,"Fatehpur, Uttar Pradesh, India"
Uttar Pradesh,Firozabad,27.1941954,78.4604956,"Firozabad, Uttar Pradesh, India"
Uttar Pradesh,Gautam Buddha Nagar,28.368716,77.5970121,"Gautam Buddha Nagar, Uttar Pradesh, India"
Uttar Pradesh,Ghaziabad,28.7749966,77.4586967,"Ghaziabad, Uttar Pradesh, India"
Uttar Pradesh,Ghazipur,25.6034863,83.5075888,"Ghazipur, Uttar Pradesh, India"
Uttar Pradesh,Gonda,27.1103723,81.9238906,"Gonda, Uttar Pradesh, India"
Uttar Pradesh,Gorakhpur,26.6677977,83.3642334,"Gorakhpur, Uttar Pradesh, India"
Uttar Pradesh,Hamirpur,25.75,80.0,"Hamirpur, Uttar Pradesh, India"
Uttar Pradesh,Hapur,28.7166767,77.890433,"Hapur, Uttar Pradesh, India"
Uttar Pradesh,Hardoi,27.3369978,80.0998232,"Hardoi, Uttar Pradesh, India"
Uttar Pradesh,Hathras,27.5724324,78.1116209,"Hathras, Uttar Pradesh, India"
Uttar Pradesh,Jalaun,26.1048633,79.3919136,"Jalaun, Uttar Pradesh, India"
Uttar Pradesh,Jaunpur,25.7967065,82.4888992,"Jaunpur, Uttar Pradesh, India"
Uttar Pradesh,Jhansi,25.529855,78.6527802,"Jhansi, Uttar Pradesh, India"
Uttar Pradesh,Kannauj,26.9986675,79.6927946,"Kannauj, Uttar Pradesh, India"
Uttar Pradesh,Kanpur Dehat,26.4585639,79.8548052,"Kanpur Dehat, Uttar Pradesh, India"
Uttar Pradesh,Kanpur Nagar,26.4410107,80.2652803,"Kanpur Nagar, Uttar Pradesh, India"
Uttar Pradesh,Kasganj,27.7888527,78.8229701,"Kasganj, Uttar Pradesh, India"
Uttar Pradesh,Kaushambi,25.5342456,81.4493567,"Kaushambi, Uttar Pradesh, India"
Uttar Pradesh,Kheri,28.116667,80.716667,"Kheri, Lakhimpur Kheri, Uttar Pradesh, India"
Uttar Pradesh,Kushinagar,26.9242612,83.8324465,"Kushinagar, Uttar Pradesh, India"
Uttar Pradesh,Lalitpur,24.6999688,78.51862,"Lalitpur, Uttar Pradesh, India"
Uttar Pradesh,Lucknow,26.8312463,80.9174154,"Lucknow, Uttar Pradesh, India"
Uttar Pradesh,Mahoba,25.3615938,79.706011,"Mahoba, Uttar Pradesh, India"
Uttar Pradesh,Mahrajganj,27.1837263,83.4917301,"Mahrajganj, Uttar Pradesh, India"
Uttar Pradesh,Mainpuri,27.2093072,79.0625369,"Mainpuri, Uttar Pradesh, India"
Uttar Pradesh,Mathura,27.633333,77.583333,"Mathura, Uttar Pradesh, India"
Uttar Pradesh,Mau,26.0390905,83.4985846,"Mau, Uttar Pradesh, India"
Uttar Pradesh,Meerut,29.0018557,77.7679671,"Meerut, Uttar Pradesh, India"
Uttar Pradesh,Mirzapur,24.9316896,82.6280163,"Mirzapur, Uttar Pradesh, India"
Uttar Pradesh,Moradabad,28.8796553,78.8095335,"Moradabad, Uttar Pradesh, India"
Uttar Pradesh,Muzaffarnagar,29.4496979,77.7429333,"Muzaffarnagar, Uttar Pradesh, India"
Uttar Pradesh,Pilibhit,28.4947158,80.1076122,"Pilibhit, Uttar Pradesh, India"
Uttar Pradesh,Pratapgarh,25.75,81.75,"Pratapgarh, Uttar Pradesh, India"
Uttar Pradesh,Prayagraj,25.2793187,81.9034977,"Prayagraj, Uttar Pradesh, India"
Uttar Pradesh,Rae Bareli,26.25,81.25,"Rāe Bareli, Raebareli, Uttar Pradesh, India"
Uttar Pradesh,Rampur,28.7934728,79.1845806,"Rampur, Uttar Pradesh, India"
Uttar Pradesh,Saharanpur,29.9856799,77.5040646,"Saharanpur, Uttar Pradesh, India"
Uttar Pradesh,Sambhal,28.4271928,78.5564546,"Sambhal, Uttar Pradesh, India"
Uttar Pradesh,Sant Kabir Nagar,26.755082,83.0398545,"Sant Kabir Nagar, Uttar Pradesh, India"
Uttar Pradesh,Shahjahanpur,27.9128583,79.7476254,"Shahjahanpur, Uttar Pradesh, India"
Uttar Pradesh,Shamli,29.4811508,77.2901344,"Shamli, Uttar Pradesh, India"
Uttar Pradesh,Shrawasti,27.5083429,82.0263569,"Sravasti, Ikauna, Sharavasti, Uttar Pradesh, India"
Uttar Pradesh,Siddharthnagar,27.2511724,82.8716528,"Siddharthnagar, Uttar Pradesh, India"
Uttar Pradesh,Sitapur,27.5026748,80.8335139,"Sitapur, Uttar Pradesh, India"
Uttar Pradesh,Sonbhadra,24.4148159,83.0637517,"Sonbhadra, Uttar Pradesh, India"
Uttar Pradesh,Sultanpur,26.2604732,82.2380532,"Sultanpur, Uttar Pradesh, India"
Uttar Pradesh,Unnao,26.5673264,80.6198193,"Unnao, Uttar Pradesh, India"
Uttar Pradesh,Varanasi,25.3719338,82.9414272,"Varanasi, Uttar Pradesh, India"
