State,District,Year,Crop_Year_Rainfall_mm,Rainy_Days,Heavy_Rain_Days,Days_Available,Monsoon_Rainfall_mm,Rabi_Rainfall_mm,Historical_Avg_Rainfall,Rainfall_Deviation_Pct
Haryana,Fatehabad,2024-25,689.23,66,0,365,537.01,61.66,672.0566666666667,2.555340075489659
Haryana,Gurugram,2021-22,1090.13,69,1,365,858.15,190.87,,
Haryana,Gurugram,2022-23,876.65,74,1,365,586.31,196.1,1090.13,-19.58298551548899
Haryana,Gurugram,2023-24,621.92,53,0,366,558.06,55.12,983.3900000000001,-36.75754278566999
Haryana,Gurugram,2024-25,891.21,69,0,365,736.55,48.88,862.9,3.2807973113918254
Haryana,Hisar,2021-22,723.02,52,1,365,590.73,98.17,,
Haryana,Hisar,2022-23,710.95,63,1,365,536.51,71.94,723.02,-1.6693867389560368
Haryana,Hisar,2023-24,473.46,42,1,366,312.56,151.47,716.985,-33.96514571434549
Haryana,Hisar,2024-25,722.5699999999999,63,0,365,571.11,55.74,635.8100000000001,13.645585945486838
Haryana,Jhajjar,2021-22,1090.13,69,1,365,858.15,190.87,,
Haryana,Jhajjar,2022-23,876.65,74,1,365,586.31,196.1,1090.13,-19.58298551548899
Haryana,Jhajjar,2023-24,621.92,53,0,366,558.06,55.12,983.3900000000001,-36.75754278566999
Haryana,Jhajjar,2024-25,891.21,69,0,365,736.55,48.88,862.9,3.2807973113918254
Haryana,Jind,2021-22,993.4,65,3,365,781.56,158.01,,
Haryana,Jind,2022-23,1063.66,79,3,365,840.51,118.07,993.4,7.07267968592713
Haryana,Jind,2023-24,582.73,50,0,366,447.69,121.59,1028.53,-43.34341244300117
Haryana,Jind,2024-25,777.09,74,0,365,600.7,71.72,879.93,-11.687293307422172
Haryana,Kaithal,2021-22,964.2,67,2,365,730.62,175.89,,
Haryana,Kaithal,2022-23,1107.44,77,2,365,874.65,123.35,964.2,14.855839037544078
Haryana,Kaithal,2023-24,807.19,65,3,366,664.9,125.79,1035.8200000000002,-22.072367785908757
Haryana,Kaithal,2024-25,892.31,78,0,365,718.95,84.78999999999999,959.61,-7.01326580590032
Haryana,Karnal,2021-22,1213.88,79,2,365,949.14,207.35,,
Haryana,Karnal,2022-23,1240.21,83,3,365,950.58,182.59,1213.88,2.1690776683032857
Haryana,Karnal,2023-24,734.04,59,0,366,640.19,81.92,1227.045,-40.17823307213673
Haryana,Karnal,2024-25,1026.07,85,0,365,837.01,73.23,1062.71,-3.447789142851775
Haryana,Kurukshetra,2021-22,1305.16,89,2,365,1021.28,222.06,,
Haryana,Kurukshetra,2022-23,1447.9,97,2,365,1138.23,176.62,1305.16,10.936590149866683
Haryana,Kurukshetra,2023-24,1033.57,78,2,366,905.44,110.6,1376.5300000000002,-24.91482205255245
Haryana,Kurukshetra,2024-25,1273.31,104,0,365,1059.56,98.0,1262.21,0.8794099238636922
Haryana,Mahendragarh,2021-22,894.84,60,0,365,744.23,129.56,,
Haryana,Mahendragarh,2022-23,751.5699999999999,72,0,365,519.63,149.47,894.84,-16.010683474140638
Haryana,Mahendragarh,2023-24,465.95,47,0,366,417.28,39.68,823.2049999999999,-43.39806002150132
Haryana,Mahendragarh,2024-25,885.46,77,0,365,768.64,44.7,704.12,25.754132818269614
Haryana,Nuh,2021-22,968.02,62,0,365,769.63,168.39,,
Haryana,Nuh,2022-23,789.11,73,1,365,534.01,171.98,968.02,-18.482056155864544
Haryana,Nuh,2023-24,593.31,47,0,366,536.69,48.83,878.565,-32.46828635331479
Haryana,Nuh,2024-25,884.79,69,0,365,772.15,40.57,783.48,12.9307704089447
Haryana,Palwal,2021-22,886.71,67,2,365,651.23,201.51,,
Haryana,Palwal,2022-23,839.52,69,1,365,558.86,196.08,886.71,-5.321920357275777
Haryana,Palwal,2023-24,739.27,48,0,366,672.37,61.88,863.115,-14.34860939735725
Haryana,Palwal,2024-25,892.24,71,1,365,803.61,31.39,821.8333333333334,8.567024944230376
Haryana,Panchkula,2021-22,1297.57,97,0,365,981.67,246.72,,
Haryana,Panchkula,2022-23,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Haryana,Panchkula,2023-24,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Haryana,Panchkula,2024-25,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Haryana,Panipat,2021-22,1213.88,79,2,365,949.14,207.35,,
Haryana,Panipat,2022-23,1240.21,83,3,365,950.58,182.59,1213.88,2.1690776683032857
Haryana,Panipat,2023-24,734.04,59,0,366,640.19,81.92,1227.045,-40.17823307213673
Haryana,Panipat,2024-25,1026.07,85,0,365,837.01,73.23,1062.71,-3.447789142851775
Haryana,Rewari,2021-22,968.02,62,0,365,769.63,168.39,,
Haryana,Rewari,2022-23,789.11,73,1,365,534.01,171.98,968.02,-18.482056155864544
Haryana,Rewari,2023-24,593.31,47,0,366,536.69,48.83,878.565,-32.46828635331479
Haryana,Rewari,2024-25,884.79,69,0,365,772.15,40.57,783.48,12.9307704089447
Haryana,Rohtak,2021-22,1161.32,70,1,365,908.52,202.4,,
Haryana,Rohtak,2022-23,1029.15,76,0,365,734.63,196.67,1161.32,-11.38101470740191
Haryana,Rohtak,2023-24,642.68,55,0,366,567.97,65.15,1095.2350000000001,-41.32035590535366
Haryana,Rohtak,2024-25,933.67,76,0,365,753.51,59.06,944.3833333333333,-1.134426345234107
Haryana,Sirsa,2021-22,514.11,43,0,365,390.24,95.1,,
Haryana,Sirsa,2022-23,695.17,50,1,365,543.65,52.11,514.11,35.2181439769699
Haryana,Sirsa,2023-24,504.72,39,1,366,348.47,146.27,604.64,-16.525535856046567
Haryana,Sirsa,2024-25,620.72,54,0,365,507.17,49.35,571.3333333333334,8.644107351225202
Haryana,Sonipat,2021-22,1161.32,70,1,365,908.52,202.4,,
Haryana,Sonipat,2022-23,1029.15,76,0,365,734.63,196.67,1161.32,-11.38101470740191
Haryana,Sonipat,2023-24,642.68,55,0,366,567.97,65.15,1095.2350000000001,-41.32035590535366
Haryana,Sonipat,2024-25,933.67,76,0,365,753.51,59.06,944.3833333333333,-1.134426345234107
Haryana,Yamunanagar,2021-22,1466.25,98,1,365,1132.21,271.56,,
Haryana,Yamunanagar,2022-23,1542.93,104,1,365,1171.78,237.36,1466.25,5.229667519181589
Haryana,Yamunanagar,2023-24,1252.67,80,2,366,1106.63,127.12,1504.5900000000001,-16.743431765464347
Haryana,Yamunanagar,2024-25,1556.73,116,2,365,1296.92,120.48,1420.6166666666668,9.581285122657993
Punjab,Amritsar,2021-22,1191.8,83,1,365,862.78,296.58,,
Punjab,Amritsar,2022-23,1397.78,108,2,365,1086.75,183.77,1191.8,17.28310119147508
Punjab,Amritsar,2023-24,1271.93,92,1,366,941.29,248.1,1294.79,-1.7655372685918103
Punjab,Amritsar,2024-25,1158.33,92,0,365,926.78,154.49,1287.17,-10.009555847323986
Punjab,Barnala,2021-22,768.5,55,0,365,548.1,177.91,,
Punjab,Barnala,2022-23,928.09,73,0,365,726.61,102.26,768.5,20.76642810670137
Punjab,Barnala,2023-24,996.84,61,1,366,847.4200000000001,133.62,848.2950000000001,17.511007373614127
Punjab,Barnala,2024-25,804.41,71,0,365,675.29,76.85,897.8100000000001,-10.403091968233822
Punjab,Bathinda,2021-22,542.75,49,0,365,386.46,127.02,,
Punjab,Bathinda,2022-23,795.59,64,1,365,634.07,66.41,542.75,46.584983878397054
Punjab,Bathinda,2023-24,646.88,51,2,366,499.49,135.98999999999998,669.1700000000001,-3.330992124572243
Punjab,Bathinda,2024-25,643.8100000000001,61,0,365,538.7,53.61,661.74,-2.7095233777616508
Punjab,Faridkot,2021-22,630.93,52,0,365,435.01,169.97,,
Punjab,Faridkot,2022-23,865.5600000000001,66,1,365,692.84,81.98,630.93,37.18796062954688
Punjab,Faridkot,2023-24,843.99,63,1,366,699.77,129.9,748.245,12.795942505462785
Punjab,Faridkot,2024-25,708.94,63,0,365,605.97,62.09,780.16,-9.128896636587356
Punjab,Fatehgarh Sahib,2021-22,968.74,66,0,365,705.04,206.19,,
Punjab,Fatehgarh Sahib,2022-23,1202.13,88,2,365,931.57,135.18,968.74,24.092119660590054
Punjab,Fatehgarh Sahib,2023-24,1093.66,72,3,366,934.04,137.46,1085.435,0.7577607134466953
Punjab,Fatehgarh Sahib,2024-25,1047.61,97,0,365,865.21,101.54,1088.1766666666667,-3.7279485867797355
Punjab,Fazilka,2021-22,487.25,43,0,365,313.42,158.55,,
Punjab,Fazilka,2022-23,859.34,62,2,365,690.92,72.92,487.25,76.36531554643408
Punjab,Fazilka,2023-24,643.49,55,0,366,517.6899999999999,111.73,673.2950000000001,-4.426737165729741
Punjab,Fazilka,2024-25,633.51,57,0,365,554.6899999999999,49.05,663.36,-4.499819102749641
Punjab,Ferozepur,2021-22,894.26,70,0,365,635.34,222.9,,
Punjab,Ferozepur,2022-23,1060.71,91,0,365,819.01,124.46,894.26,18.613155010846963
Punjab,Ferozepur,2023-24,1205.81,80,2,366,1035.64,147.34,977.485,23.358414707131047
Punjab,Ferozepur,2024-25,926.82,81,0,365,776.07,98.12,1053.5933333333332,-12.032472997171572
Punjab,Gurdaspur,2021-22,1191.8,83,1,365,862.78,296.58,,
Punjab,Gurdaspur,2022-23,1397.78,108,2,365,1086.75,183.77,1191.8,17.28310119147508
Punjab,Gurdaspur,2023-24,1271.93,92,1,366,941.29,248.1,1294.79,-1.7655372685918103
Punjab,Gurdaspur,2024-25,1158.33,92,0,365,926.78,154.49,1287.17,-10.009555847323986
Punjab,Hoshiarpur,2021-22,1123.34,82,1,365,822.7099999999999,267.03,,
Punjab,Hoshiarpur,2022-23,1365.91,108,0,365,1051.81,173.36,1123.34,21.593640393825574
Punjab,Hoshiarpur,2023-24,1348.79,86,3,366,1113.02,194.39,1244.625,8.369187506276988
Punjab,Hoshiarpur,2024-25,1146.52,92,0,365,937.61,142.27,1279.3466666666666,-10.382382674490099
Punjab,Jalandhar,2021-22,1123.34,82,1,365,822.7099999999999,267.03,,
Punjab,Jalandhar,2022-23,1365.91,108,0,365,1051.81,173.36,1123.34,21.593640393825574
Punjab,Jalandhar,2023-24,1348.79,86,3,366,1113.02,194.39,1244.625,8.369187506276988
Punjab,Jalandhar,2024-25,1146.52,92,0,365,937.61,142.27,1279.3466666666666,-10.382382674490099
Punjab,Kapurthala,2021-22,967.55,72,0,365,691.05,255.76,,
Punjab,Kapurthala,2022-23,1106.64,93,1,365,883.05,126.58,967.55,14.37548447108678
Punjab,Kapurthala,2023-24,1135.06,80,2,366,916.38,179.38,1037.095,9.4460970306481
Punjab,Kapurthala,2024-25,963.72,81,0,365,799.17,109.19,1069.75,-9.91166160317831
Punjab,Ludhiana,2021-22,894.26,70,0,365,635.34,222.9,,
Punjab,Ludhiana,2022-23,1060.71,91,0,365,819.01,124.46,894.26,18.613155010846963
Punjab,Ludhiana,2023-24,1205.81,80,2,366,1035.64,147.34,977.485,23.358414707131047
Punjab,Ludhiana,2024-25,926.82,81,0,365,776.07,98.12,1053.5933333333332,-12.032472997171572
Punjab,Malerkotla,2021-22,768.5,55,0,365,548.1,177.91,,
Punjab,Malerkotla,2022-23,928.09,73,0,365,726.61,102.26,768.5,20.76642810670137
Punjab,Malerkotla,2023-24,996.84,61,1,366,847.4200000000001,133.62,848.2950000000001,17.511007373614127
Punjab,Malerkotla,2024-25,804.41,71,0,365,675.29,76.85,897.8100000000001,-10.403091968233822
Punjab,Mansa,2021-22,711.85,54,0,365,525.18,140.17,,
Punjab,Mansa,2022-23,835.71,67,1,365,657.51,86.58,711.85,17.399733089836346
Punjab,Mansa,2023-24,728.2,59,2,366,565.85,149.09,773.78,-5.890563209180895
Punjab,Mansa,2024-25,721.61,69,0,365,584.47,68.26,758.5866666666667,-4.87441557985025
Punjab,Moga,2021-22,773.82,61,0,365,536.71,216.24,,
Punjab,Moga,2022-23,935.08,78,1,365,748.33,98.34,773.82,20.839471711767594
Punjab,Moga,2023-24,1010.65,66,2,366,846.42,143.09,854.45,18.280765404646253
Punjab,Moga,2024-25,809.16,70,0,365,687.26,79.33,906.5166666666668,-10.739644426467628
Punjab,Pathankot,2021-22,1420.5,113,1,365,991.02,374.77,,
Punjab,Pathankot,2022-23,1913.02,136,0,365,1328.35,354.51,1420.5,34.67229848644843
Punjab,Pathankot,2023-24,1534.46,111,1,366,987.11,402.75,1666.76,-7.937555496892171
Punjab,Pathankot,2024-25,1449.33,109,0,365,1046.6,279.9,1622.6599999999999,-10.68184339294738
Punjab,Patiala,2021-22,964.2,67,2,365,730.62,175.89,,
Punjab,Patiala,2022-23,1107.44,77,2,365,874.65,123.35,964.2,14.855839037544078
Punjab,Patiala,2023-24,807.19,65,3,366,664.9,125.79,1035.8200000000002,-22.072367785908757
Punjab,Patiala,2024-25,892.31,78,0,365,718.95,84.78999999999999,959.61,-7.01326580590032
Punjab,Rupnagar,2021-22,1060.59,82,0,365,753.01,246.11,,
Punjab,Rupnagar,2022-23,1359.03,109,1,365,1016.23,161.34,1060.59,28.13905467711369
Punjab,Rupnagar,2023-24,1308.7,84,3,366,1099.77,174.77,1209.81,8.174010795083534
Punjab,Rupnagar,2024-25,1191.48,107,1,365,972.22,134.83,1242.7733333333333,-4.127328126341084
Punjab,S.A.S Nagar,2021-22,1297.57,97,0,365,981.67,246.72,,
Punjab,S.A.S Nagar,2022-23,1567.66,110,1,365,1207.36,181.25,1297.57,20.815062000508654
Punjab,S.A.S Nagar,2023-24,1301.31,84,3,366,1120.44,152.26,1432.615,-9.16540731459604
Punjab,S.A.S Nagar,2024-25,1447.69,111,1,365,1191.42,133.39,1388.8466666666666,4.2368488002035365
Punjab,Sangrur,2021-22,711.85,54,0,365,525.18,140.17,,
Punjab,Sangrur,2022-23,835.71,67,1,365,657.51,86.58,711.85,17.399733089836346
Punjab,Sangrur,2023-24,728.2,59,2,366,565.85,149.09,773.78,-5.890563209180895
Punjab,Sangrur,2024-25,721.61,69,0,365,584.47,68.26,758.5866666666667,-4.87441557985025
Punjab,Shahid Bhagat Singh Nagar,2021-22,1060.59,82,0,365,753.01,246.11,,
Punjab,Shahid Bhagat Singh Nagar,2022-23,1359.03,109,1,365,1016.23,161.34,1060.59,28.13905467711369
Punjab,Shahid Bhagat Singh Nagar,2023-24,1308.7,84,3,366,1099.77,174.77,1209.81,8.174010795083534
Punjab,Shahid Bhagat Singh Nagar,2024-25,781.01,69,1,184,739.73,41.28,1242.7733333333333,-37.15587717792464
Punjab,Sri Muktsar Sahib,2021-22,487.25,43,0,365,313.42,158.55,,
Punjab,Sri Muktsar Sahib,2022-23,859.34,62,2,365,690.92,72.92,487.25,76.36531554643408
Punjab,Sri Muktsar Sahib,2023-24,643.49,55,0,366,517.6899999999999,111.73,673.2950000000001,-4.426737165729741
Punjab,Sri Muktsar Sahib,2024-25,633.51,57,0,365,554.6899999999999,49.05,663.36,-4.499819102749641
Punjab,Tarn Taran,2021-22,967.55,72,0,365,691.05,255.76,,
Punjab,Tarn Taran,2022-23,1106.64,93,1,365,883.05,126.58,967.55,14.37548447108678
Punjab,Tarn Taran,2023-24,1135.06,80,2,366,916.38,179.38,1037.095,9.4460970306481
Punjab,Tarn Taran,2024-25,963.72,81,0,365,799.17,109.19,1069.75,-9.91166160317831
Uttar Pradesh,Agra,2021-22,858.71,64,1,365,704.41,138.73,,
Uttar Pradesh,Agra,2022-23,822.0,79,0,365,620.16,138.59,858.71,-4.275017176928187
Uttar Pradesh,Agra,2023-24,659.05,61,0,366,587.65,61.72,840.355,-21.574810645501017
Uttar Pradesh,Agra,2024-25,1104.7,79,1,365,1051.62,26.07,779.9200000000001,41.64273258795773
Uttar Pradesh,Aligarh,2021-22,941.67,65,0,365,719.26,188.68,,
Uttar Pradesh,Aligarh,2022-23,818.96,70,1,365,545.03,187.43,941.67,-13.031104314674986
Uttar Pradesh,Aligarh,2023-24,681.55,48,0,366,617.79,56.94,880.315,-22.57884961633053
Uttar Pradesh,Aligarh,2024-25,887.1,68,0,365,783.36,36.24,814.06,8.972311623221886
Uttar Pradesh,Ambedkar Nagar,2021-22,1077.82,88,1,365,866.86,178.26,,
Uttar Pradesh,Ambedkar Nagar,2022-23,1009.66,74,1,365,711.31,220.42,1077.82,-6.32387597186914
Uttar Pradesh,Ambedkar Nagar,2023-24,866.36,69,1,366,773.27,89.39999999999999,1043.74,-16.994653840994882
Uttar Pradesh,Ambedkar Nagar,2024-25,1058.02,76,1,365,993.94,6.989999999999999,984.6133333333333,7.455380115375237
Uttar Pradesh,Amethi,2021-22,1144.48,89,1,365,925.28,191.52,,
Uttar Pradesh,Amethi,2022-23,994.85,76,1,365,715.01,209.03,1144.48,-13.074059835034252
Uttar Pradesh,Amethi,2023-24,836.5600000000001,74,0,366,736.52,94.07,1069.665,-21.792336853126905
Uttar Pradesh,Amethi,2024-25,1111.83,80,1,365,1026.02,5.28,991.9633333333335,12.083779978426598
Uttar Pradesh,Amroha,2021-22,1145.66,66,0,365,861.91,232.21,,
Uttar Pradesh,Amroha,2022-23,1001.77,70,1,365,679.21,231.66,1145.66,-12.559572648080591
Uttar Pradesh,Amroha,2023-24,741.14,52,0,366,670.5,63.86,1073.7150000000001,-30.974234317300226
Uttar Pradesh,Amroha,2024-25,1016.37,80,0,365,853.41,51.79,962.8566666666667,5.557767338163865
Uttar Pradesh,Auraiya,2021-22,906.26,69,0,365,673.58,204.86,,
Uttar Pradesh,Auraiya,2022-23,969.62,73,0,365,756.05,156.24,906.26,6.991371129697881
Uttar Pradesh,Auraiya,2023-24,689.94,65,0,366,596.04,89.83,937.94,-26.440923726464376
Uttar Pradesh,Auraiya,2024-25,995.18,73,2,365,963.38,12.42,855.2733333333334,16.35812332899422
Uttar Pradesh,Ayodhya,2021-22,1144.48,89,1,365,925.28,191.52,,
Uttar Pradesh,Ayodhya,2022-23,994.85,76,1,365,715.01,209.03,1144.48,-13.074059835034252
Uttar Pradesh,Ayodhya,2023-24,836.5600000000001,74,0,366,736.52,94.07,1069.665,-21.792336853126905
Uttar Pradesh,Ayodhya,2024-25,1111.83,80,1,365,1026.02,5.28,991.9633333333335,12.083779978426598
Uttar Pradesh,Azamgarh,2021-22,1003.89,77,1,365,833.84,157.4,,
Uttar Pradesh,Azamgarh,2022-23,886.42,70,0,365,672.65,151.14,1003.89,-11.701481237984245
Uttar Pradesh,Azamgarh,2023-24,707.05,68,0,366,583.8,118.33,945.155,-25.1921642481921
Uttar Pradesh,Azamgarh,2024-25,994.29,78,0,365,932.62,5.66,865.7866666666665,14.842378415006023
Uttar Pradesh,Baghpat,2021-22,1106.73,68,1,365,812.39,246.91,,
Uttar Pradesh,Baghpat,2022-23,936.84,71,1,365,604.92,247.36,1106.73,-15.350627524328425
Uttar Pradesh,Baghpat,2023-24,802.46,53,1,366,728.24,69.17,1021.7850000000001,-21.46488742739422
Uttar Pradesh,Baghpat,2024-25,1065.14,80,1,365,923.74,45.47,948.6766666666667,12.276399054121006
Uttar Pradesh,Bahraich,2021-22,1308.4,92,1,365,956.1,269.1,,
Uttar Pradesh,Bahraich,2022-23,1096.22,77,4,365,674.63,328.41,1308.4,-16.216753286456743
Uttar Pradesh,Bahraich,2023-24,968.09,76,1,366,880.75,74.35,1202.31,-19.480832730327446
Uttar Pradesh,Bahraich,2024-25,1521.7,82,4,365,1434.23,7.69,1124.2366666666667,35.354062460158154
Uttar Pradesh,Ballia,2021-22,1056.39,94,0,365,835.05,178.18,,
Uttar Pradesh,Ballia,2022-23,642.8,68,0,365,491.12,108.26,1056.39,-39.151260424653785
Uttar Pradesh,Ballia,2023-24,694.58,73,0,366,546.43,115.04,849.595,-18.24575238790247
Uttar Pradesh,Ballia,2024-25,847.26,68,0,365,776.02,5.17,797.9233333333333,6.183133717942831
Uttar Pradesh,Balrampur,2021-22,1408.04,96,1,365,1077.96,239.94,,
Uttar Pradesh,Balrampur,2022-23,1161.94,80,4,365,729.33,334.2,1408.04,-17.47819664214084
Uttar Pradesh,Balrampur,2023-24,1040.57,84,0,366,938.99,83.34,1284.99,-19.021159697740845
Uttar Pradesh,Balrampur,2024-25,1740.86,82,6,365,1625.49,7.590000000000001,1203.5166666666667,44.647768345542914
Uttar Pradesh,Banda,2021-22,882.75,67,0,365,728.28,134.63,,
Uttar Pradesh,Banda,2022-23,1033.88,74,0,365,805.72,159.85,882.75,17.120362503540086
Uttar Pradesh,Banda,2023-24,722.84,62,0,366,631.77,86.33,958.315,-24.571774416554057
Uttar Pradesh,Banda,2024-25,919.74,81,1,365,781.5,21.64,879.8233333333334,4.536895664659946
Uttar Pradesh,Bara Banki,2021-22,1188.55,76,1,365,901.55,231.54,,
Uttar Pradesh,Bara Banki,2022-23,1057.08,76,2,365,689.75,280.42,1188.55,-11.061377308485131
Uttar Pradesh,Bara Banki,2023-24,981.37,71,1,366,897.28,77.74,1122.815,-12.597355753173947
Uttar Pradesh,Bara Banki,2024-25,1278.6,79,2,365,1209.75,8.15,1075.6666666666667,18.865819646730692
Uttar Pradesh,Bareilly,2021-22,1077.89,75,1,365,653.94,380.15,,
Uttar Pradesh,Bareilly,2022-23,952.94,76,1,365,533.62,323.74,1077.89,-11.592091957435363
Uttar Pradesh,Bareilly,2023-24,912.02,67,1,366,830.97,65.26,1015.4150000000001,-10.182536204409043
Uttar Pradesh,Bareilly,2024-25,1239.27,88,3,365,1121.67,30.23,980.9500000000002,26.333656149650825
Uttar Pradesh,Basti,2021-22,1253.77,84,1,365,979.62,216.18,,
Uttar Pradesh,Basti,2022-23,1073.15,71,2,365,703.11,282.63,1253.77,-14.406151048437904
Uttar Pradesh,Basti,2023-24,1038.36,72,1,366,945.69,83.53,1163.46,-10.752410912278904
Uttar Pradesh,Basti,2024-25,1459.09,82,3,365,1373.21,5.77,1121.76,30.071494793895305
Uttar Pradesh,Bhadohi,2021-22,821.82,71,0,365,699.89,103.24,,
Uttar Pradesh,Bhadohi,2022-23,922.69,79,0,365,726.8199999999999,137.82999999999998,821.82,12.273977269961792
Uttar Pradesh,Bhadohi,2023-24,698.43,70,0,366,578.54,115.99,872.2550000000001,-19.92823199637722
Uttar Pradesh,Bhadohi,2024-25,899.49,80,0,365,846.68,10.55,814.3133333333334,10.459937616151024
Uttar Pradesh,Bijnor,2021-22,1249.18,80,2,365,864.37,331.88,,
Uttar Pradesh,Bijnor,2022-23,1165.5,84,1,365,773.52,289.77,1249.18,-6.698794409132396
Uttar Pradesh,Bijnor,2023-24,1047.08,67,1,366,935.81,99.35,1207.3400000000001,-13.27380853777728
Uttar Pradesh,Bijnor,2024-25,1345.3,102,2,365,1161.73,76.28,1153.92,16.585205213532987
Uttar Pradesh,Budaun,2021-22,904.18,70,2,365,613.76,254.65,,
Uttar Pradesh,Budaun,2022-23,830.86,76,2,365,522.7,223.68,904.18,-8.10900484416819
Uttar Pradesh,Budaun,2023-24,766.09,52,0,366,695.18,62.39,867.52,-11.691949465142008
Uttar Pradesh,Budaun,2024-25,956.85,73,1,365,869.43,26.95,833.71,14.77012390399539
Uttar Pradesh,Bulandshahr,2021-22,1076.17,67,0,365,815.93,216.11,,
Uttar Pradesh,Bulandshahr,2022-23,887.89,71,2,365,573.6800000000001,221.33,1076.17,-17.49537712443202
Uttar Pradesh,Bulandshahr,2023-24,710.71,50,1,366,645.59,58.6,982.03,-27.628483854872044
Uttar Pradesh,Bulandshahr,2024-25,923.0,71,0,365,784.26,42.31,891.59,3.5229197276775164
Uttar Pradesh,Chandauli,2021-22,839.9,67,0,365,726.49,95.67,,
Uttar Pradesh,Chandauli,2022-23,874.13,71,0,365,719.65,112.01,839.9,4.075485176806765
Uttar Pradesh,Chandauli,2023-24,691.79,68,0,366,520.65,163.9,857.015,-19.279125802932274
Uttar Pradesh,Chandauli,2024-25,1031.34,76,0,365,986.8,10.38,801.9399999999999,28.605631343990822
Uttar Pradesh,Chitrakoot,2021-22,812.44,68,0,365,693.52,91.14,,
Uttar Pradesh,Chitrakoot,2022-23,971.09,75,0,365,786.79,131.85,812.44,19.527595884003738
Uttar Pradesh,Chitrakoot,2023-24,790.81,66,0,366,673.11,107.62,891.7650000000001,-11.320807611870856
Uttar Pradesh,Chitrakoot,2024-25,1125.46,79,3,365,977.41,17.68,858.1133333333333,31.155169868781908
Uttar Pradesh,Deoria,2021-22,1319.0,94,2,365,1052.31,230.97,,
Uttar Pradesh,Deoria,2022-23,906.85,72,1,365,676.23,181.54,1319.0,-31.24715693707354
Uttar Pradesh,Deoria,2023-24,846.11,79,1,366,723.78,104.53,1112.925,-23.974212098748787
Uttar Pradesh,Deoria,2024-25,1150.39,75,2,365,1032.96,5.39,1023.9866666666667,12.34423625307622
Uttar Pradesh,Etah,2021-22,840.23,68,2,365,580.1,230.55,,
Uttar Pradesh,Etah,2022-23,787.76,70,1,365,533.5,182.32,840.23,-6.24471870797282
Uttar Pradesh,Etah,2023-24,726.16,56,0,366,652.18,63.72,813.995,-10.790606821909229
Uttar Pradesh,Etah,2024-25,968.49,77,1,365,903.13,24.72,784.7166666666667,23.419068453581968
Uttar Pradesh,Etawah,2021-22,906.26,69,0,365,673.58,204.86,,
Uttar Pradesh,Etawah,2022-23,969.62,73,0,365,756.05,156.24,906.26,6.991371129697881
Uttar Pradesh,Etawah,2023-24,689.94,65,0,366,596.04,89.83,937.94,-26.440923726464376
Uttar Pradesh,Etawah,2024-25,995.18,73,2,365,963.38,12.42,855.2733333333334,16.35812332899422
Uttar Pradesh,Farrukhabad,2021-22,964.23,65,2,365,561.23,365.66,,
Uttar Pradesh,Farrukhabad,2022-23,748.84,64,1,365,470.56,213.88,964.23,-22.338031382553954
Uttar Pradesh,Farrukhabad,2023-24,713.0699999999999,61,1,366,637.88,61.59,856.5350000000001,-16.74946149310888
